"regionName","exports","exportsm3","imports","importsm3","mining.value","net.exports","net.imports","npc.bounties","total.destroyed","total.production","trade.value"
"Cache",143389636125.073,97988696.6300001,854042254447.812,861834530.052498,15119577981.534,0,710652618322.739,32632882641,156645700190.37,5067737949.0019,1202019991
"Paragon Soul",305923023563.318,482953005.4825,476762693213.592,1042795847.195,131634038259.996,0,170839669650.274,282778899853,67078620452.28,96782060648.4488,2882493309.91
"Fade",18904351654398.1,39048147800.145,23811954465072.4,40847024200.4709,54053427680.8651,0,4907602810674.25,234979786634,157828824626.89,24770362121.6538,4429097296.23
"The Spire",1099087852121.38,1247455123.3085,438158952733.837,1515320256.9725,107996445709.799,660928899387.541,0,367213076526,66637192283,102168711874.307,9025111250.24
"Period Basis",150510959080.858,150532843.7575,255838703526.569,465195918.72,268271071258.903,0,105327744445.711,720549795463,59812854339.75,12366336135.5818,11782771838.98
"Geminate",2433086317748.66,3501268948.78202,2649236403282.37,2742908964.27301,191972559843.016,0,216150085533.718,632288584850,279042631519.11,4540547345946.08,12991501090.91
"Wicked Creek",331333518432.632,695741366.644499,265920619479.399,664594354.451499,69889093328.4439,65412898953.233,0,134667011110,99406698137.77,156028253219.887,20097434521.51
"Vale of the Silent",1861488567626.59,2437215574.41001,2205085768348.77,2613320771.36802,155943158847.85,0,343597200722.18,601646463786,640855483947.59,3705783210761.34,22310386469.62
"Cloud Ring",4174638044091.11,11007078114.2951,4818813921874.23,12150525862.4901,126546329348.229,0,644175877783.12,151165506373,150687699829.03,110825943909.861,22445159389
"Scalding Pass",362795572312.381,357276047.5075,362330048885.652,361152803.755,176998999775.422,465523426.729065,0,122915200674,137105989132.19,137731288178.359,25283794607
"Querious",5808356262713.68,5790298041.06753,5431641867327.69,5799907666.75159,680311983180.339,376714395385.984,0,1167506561094,299948719886.09,887598304204.817,36082706555.93
"Great Wildlands",592025823257.79,463544079.931499,720827692042.546,615473833.326499,201295815430.435,0,128801868784.756,26337499689,276151205820.65,107267763323.081,64896937664.21
"Detorid",2426078706116.8,5347435621.32555,2225882410996.59,5015475436.08703,464435397700.089,200196295120.215,0,1387745303964,350310774314.55,828079956596.526,86419119872.21
"Tribute",860228478359.879,1862534718.8806,1003442646084.93,1104570374.4256,174566902559.968,0,143214167725.055,351930029540,655295446973.18,913014288792.844,104933758882.85
"The Bleak Lands",2387883751629.61,1748106857.60509,3006932158445.94,2435511934.04211,169326643013.392,0,619048406816.331,26288062885,359506700195.05,339770752203.491,130130552650.14
"Tenerifis",3706315586956.33,2176467527.92149,3223411344349.03,1624001207.86399,305144137290.087,482904242607.295,0,856283682371,180069286210.16,633620092269.586,158438158803.09
"Curse",947794907958.898,1212376253.8364,1007794588398.56,1225889108.5239,29220044771.6942,0,59999680439.6575,58481206898,301412488324.21,106600557508.962,165280470428.54
"Tenal",1462621052294.12,2893126391.06551,1342087186950.04,2290057968.801,196355167789.964,120533865344.078,0,1585417933672,916479459095.75,76044879176.9228,173168159550.62
"Stain",430354764116.132,1536804968.1425,281414622354.265,948575764.417499,239469187528.874,148940141761.868,0,139513512420,436514086734.74,294596637206.363,180520618770.69
"Solitude",835370721863.812,903162757.401,1002183447238.37,983093713.770998,270578896090.671,0,166812725374.56,41138535823,68001718505.95,162595273884.085,213433987421.98
"Pure Blind",6841476380254.21,14077508538.7577,19719070999207.8,40455174317.2407,204858032651.306,0,12877594618953.6,562582794446,498992510257.85,532661225496.23,279106582832.56
"Etherium Reach",3214893917579.2,2899251425.60852,3206365221044.03,2703834540.21252,440916166429.856,8528696535.17188,0,544117081852,624012795852.7,990360506388.135,317589275536.68
"Outer Ring",227182439536.058,350187782.231,341786697270.396,615499828.1425,219895661706.263,0,114604257734.338,32061370413,164325221379.33,11384760132.6747,385093450526.27
"Syndicate",533757684623.625,611440205.157999,604325610739.585,726946456.742499,305466508184.955,0,70567926115.9606,81635533409,423947023723.03,713751204760.583,405546043413.4
"Molden Heath",1278635798650.37,1721516716.29399,1117669869958.69,1704199303.45899,200311297246.336,160965928691.673,0,69844942667,325669370634.23,145485990786.852,558382530972.71
"Venal",1272014290470.71,1685343160.4395,1123064568806.7,1530468445.2051,75864871160.0471,148949721664.01,0,340136182034,1523248131440.17,1829586867738.75,565205265091.99
"Khanid",4667298489593.04,3030972335.03904,9276028003655.96,3313376611.20853,508170424409.668,0,4608729514062.92,77456953004,360656375940.74,283260736643.089,602833907257.54
"Omist",409663525538.475,594218788.3555,497616574038.099,593178969.4295,624204972583.217,0,87953048499.6245,2760391315524,354952577922.14,1638732088053.63,607638816080.43
"Perrigen Falls",4026373131957.7,8706377797.76057,5257935700467.82,8330674217.55404,684212571287.798,0,1231562568510.12,3308998608680,605444084091.62,1516361473662.29,611788771926.93
"Branch",1164221904993.34,2308011591.8695,1418340396559.95,3020246952.847,134820918844.048,0,254118491566.615,1437560800605,919082092608.49,1758375231703.48,622728478714.98
"Black Rise",2114893422549.39,2824824538.99472,2015728589640.64,2885375162.21222,180700707909.417,99164832908.7527,0,76728589869,1208197051269.04,803190362534.649,630063301020.84
"Deklein",27988206556680.2,42318403853.9812,1764750766654.72,3745050405.24501,46034783038.6112,26223455790025.4,0,809255662683,979190525863.68,849482609382.457,632478933067.29
"Aridia",634206122442.297,454273562.064999,1172137541432.5,2000896523.2325,173750135287.988,0,537931418990.2,63521290455,210198871049.95,187626245043.908,772677824460.27
"Devoid",2739708105999.56,3952963513.31094,2472099775156.18,3456311557.92599,254776051597.139,267608330843.381,0,67094550280,282380375243.8,556107653609.594,821597206818.93
"Malpais",2821530962043.43,3145242628.19351,2680695851220.22,2848356364.802,747730364946.069,140835110823.21,0,1487520587985,364636639585.14,3240393473049.71,823732628938.66
"Impass",2930566208616.49,1673264318.98448,2877820212873.62,1555868318.73268,433623599670.278,52745995742.8745,0,774144256008,240025081152.7,1275137835346.89,832991778975.1
"Immensea",1042631000362.5,1404475229.4715,1077169105960.97,1243741232.038,542826866975.292,0,34538105598.4684,628769524649,331600036283.4,1443514476948.39,836667947966.63
"Feythabolis",475929805019.318,783844073.531999,2684041296798.6,1066725041.68449,861200116946.202,0,2208111491779.28,1821169437178,329799481312.76,2127633046787.51,839942197607.71
"Cobalt Edge",1628093412512.2,1409916060.377,976414559438.887,938354891.752498,416007687223.035,651678853073.311,0,2595594497274,680102843291,1969089220031.14,848972703889.2
"Kador",2717796897613.53,6874525805.06063,2663666061726.19,6825989093.34158,623932154822.321,54130835887.3462,0,162940898170,403705705283.17,707267952185.278,901387606955.93
"Catch",3366999755904.61,1324711197.20828,3226295896827.42,1564949205.99958,418881497411.986,140703859077.194,0,525418068791,749120610973.78,1026240240153.05,1369233185894.78
"Placid",2551862769597.4,2985632806.13802,2099954101758.84,2618059481.86653,117511330215.213,451908667838.564,0,72181951381,632956910471.21,857222459629.283,1422090105813.3
"Providence",774734858062.026,1137686035.4191,1246153349601.32,1204690785.1979,455732139073.441,0,471418491539.296,641882162741,991133632930.96,1707405451551.86,1519411345003.7
"Fountain",2303182938993.88,3838752101.9086,4518355708270.96,11704206976.6691,729294565660.75,0,2215172769277.08,2835942634839,799116260542.69,3464468791053.48,1582225299140.46
"Derelik",7639005850609.52,3578908173.42023,3007483656280.94,4196152396.55751,409778571164.776,4631522194328.58,0,94905743147,547970785276.59,701753991723.516,1653143894734.41
"Kor-Azor",5412119306269.07,4645677775.63605,5535056118567.63,4865717154.34132,255397288884.239,0,122936812298.559,105364016286,354290930035.4,411691896171.24,1763094865911.28
"Everyshore",2654784184061.28,4883468507.17953,2668451973369.99,4615517762.43405,485707683023.084,0,13667789308.707,105806755920,268784289564.22,651821488861.69,2292053927650.6
"Genesis",4798533580003.31,7840909198.32328,4685042276810.92,7767905071.34882,649748171706.02,113491303192.387,0,247984291640,668787812448.16,622514093908.322,2440695714931.2
"Insmother",1659811282809.87,4205397300.57651,2304336703776.41,4759355679.39502,438471560443.022,0,644525420966.543,1235851550553,783635461776.66,1927392185789.68,3498219260292.44
"Oasa",4769860245356.23,7466599431.11354,3887256086980.52,6123725104.23302,1436097499515.06,882604158375.71,0,6736953878119,965966093538.64,7434599141408.19,3664437940509.25
"Tash-Murkon",2697601224943.49,5995918338.58562,2499842546478.05,5785747287.70456,712864410048.529,197758678465.439,0,184638011601,618541384479.53,1730887374658.25,3684056676148.88
"Verge Vendor",2160314378950.19,3187516319.0792,2229803390371.45,3106890437.69404,253454455448.452,0,69489011421.2544,95712711540,243437566013.81,751614382206.722,3786389899315.83
"Esoteria",1258997022721.08,2508159488.082,1258194046526.01,2787743524.781,1130999584504.27,802976195.077637,0,1711339654972,521847439749.65,4509344266867.94,4568507716385.13
"The Citadel",23713150531028.1,32874424785.9315,22716169583128.5,33186765902.1997,455840874015.75,996980947899.57,0,328920945232,2438613702650.76,8829401829455.66,5168757692731.87
"Essence",8917332691878.25,14214669337.3777,8900428914027.61,14637316552.4373,446951266833.3,16903777850.6328,0,150336439374,619392357046.21,1038528842131.64,5252785939600.18
"The Kalevala Expanse",2977437657586.36,3340444196.32003,4145786601175.14,5296906372.15657,666238084528.094,0,1168348943588.78,1622273801629,747922476386.46,4804181992662.61,7994160130904.21
"Heimatar",6225466521694.09,8184394809.26333,11142524650367.3,8288346328.02641,356902228623.149,0,4917058128673.24,172927473505,716300505347.6,2573167723803,8161292457002.33
"Metropolis",10678383505490,9770209780.64842,11988040300553.5,10311811429.588,683809591109.036,0,1309656795063.42,603777276676,1310094450305.53,2102425599318.48,8701766253973.12
"Lonetrek",16054512606471.7,20498636249.671,19615886341596.9,20350580808.192,791062159857.595,0,3561373735125.16,549802731186,1835154306624.65,7581875691347.9,15554857486498.5
"Delve",8715820420928.46,5905418574.94269,5584203157269.26,6358440834.72106,2403701025466.52,3131617263659.2,0,6114378521158,1818567308435.41,12525098265322.5,18811207593225.1
"Sinq Laison",16084309713110.7,16090925775.9381,14000920048488.8,15537052140.6539,821072396242.437,2083389664621.9,0,329195538889,1301167014508.89,3798559343606.71,19920192629438.4
"Domain",13807794321272.7,21859714861.0347,13262199647851.5,20964321905.8052,1679138042868.48,545594673421.15,0,334757451825,2081238631311.26,4924507066211.4,44744953750219.9
"The Forge",26979520146551.4,30486242694.0882,26279165731577.2,29498479919.2695,1111485472021.19,700354414974.188,0,474681548498,2935515637173.37,28219420881251.6,526634189234420
